,symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
87,SHSE.688288,1d,13.33,13.59,12.9,13.37,3473131,45842864.15,13.41,0,2024-06-14 00:00:00+08:00,2024-06-14 00:00:00+08:00
88,SHSE.688288,1d,14.04,14.76,13.68,13.75,5562839,78578295.82,13.37,0,2024-06-17 00:00:00+08:00,2024-06-17 00:00:00+08:00
89,SHSE.688288,1d,13.88,16.5,13.69,16.5,5891321,91479917.39,13.75,0,2024-06-18 00:00:00+08:00,2024-06-18 00:00:00+08:00
90,SHSE.688288,1d,18.62,19.48,17.62,18.25,15083188,275766391.11,16.5,0,2024-06-19 00:00:00+08:00,2024-06-19 00:00:00+08:00
91,SHSE.688288,1d,17.3,21.9,17.24,21.28,17739646,352213337.21,18.25,0,2024-06-20 00:00:00+08:00,2024-06-20 00:00:00+08:00
92,SHSE.688288,1d,19.22,19.55,17.11,17.35,14314354,262854895.1,21.28,0,2024-06-21 00:00:00+08:00,2024-06-21 00:00:00+08:00
93,SHSE.688288,1d,16.94,17.28,15.65,15.8,9100933,148023108.03,17.35,0,2024-06-24 00:00:00+08:00,2024-06-24 00:00:00+08:00
94,SHSE.688288,1d,16.35,16.82,15.33,15.44,7209544,115430341.56,15.8,0,2024-06-25 00:00:00+08:00,2024-06-25 00:00:00+08:00
95,SHSE.688288,1d,15.34,16.08,14.97,15.89,6556254,102166115.02,15.44,0,2024-06-26 00:00:00+08:00,2024-06-26 00:00:00+08:00
96,SHSE.688288,1d,15.89,16.77,15.57,15.83,7061659,114593368.22,15.89,0,2024-06-27 00:00:00+08:00,2024-06-27 00:00:00+08:00
97,SHSE.688288,1d,15.65,16.19,15.41,15.63,5215465,82535057.36,15.83,0,2024-06-28 00:00:00+08:00,2024-06-28 00:00:00+08:00
98,SHSE.688288,1d,15.94,16.26,14.98,15.3,4191747,64409267.49,15.63,0,2024-07-01 00:00:00+08:00,2024-07-01 00:00:00+08:00
99,SHSE.688288,1d,15.16,15.49,15.05,15.25,3303189,50366933.57,15.3,0,2024-07-02 00:00:00+08:00,2024-07-02 00:00:00+08:00
100,SHSE.688288,1d,15.21,15.74,14.81,15.11,4693891,71907599.47,15.25,0,2024-07-03 00:00:00+08:00,2024-07-03 00:00:00+08:00
